Name,XPos,YPos,ZPos
1,0,0,3
2,0,-1.0932,2.8476
3,0,1.0932,2.8476
4,-1.0516,-0.65,2.8044
5,-1.0516,0.65,2.8044
6,1.0516,-0.65,2.8044
7,1.0516,0.65,2.8044
8,-1.0396,-1.7356,2.4508
9,-1.0396,1.7356,2.4508
10,1.0396,-1.7356,2.4508
11,1.0396,1.7356,2.4508
12,-2.1028,0,2.4028
13,0,-2.1028,2.4028
14,0,2.1028,2.4028
15,2.1028,0,2.4028
16,-2,-1.236,2.236
17,-2,1.236,2.236
18,2,-1.236,2.236
19,2,1.236,2.236
20,-0.6424,-2.7752,1.808
21,-0.6424,2.7752,1.808
22,0.6424,-2.7752,1.808
23,0.6424,2.7752,1.808
24,-2.808,-0.6424,1.7752
25,-2.808,0.6424,1.7752
26,2.808,-0.6424,1.7752
27,2.808,0.6424,1.7752
28,-1.7012,-2.3512,1.7528
29,-1.7012,2.3512,1.7528
30,1.7012,-2.3512,1.7528
