Name,XPos,YPos,ZPos
1,-0.760747675,-0.928041282,-1.175706045
2,0.721157645,1.169231857,2.528115605
3,-1.676875992,-0.052141793,-0.755185851
4,0.47053866,0.336660794,1.46393435
5,-1.505845428,-1.194587029,-1.456973698
6,-0.738699737,0.416597163,1.145156227
7,0.616820868,-0.76021264,2.209086796
8,-2.088163389,-0.255304051,-1.687891231
9,-0.086492462,1.075153515,-0.904238013
10,0.0290294,0.086699563,2.335074844
11,-0.425512276,0.267498034,-3.084556748
12,-0.624440113,0.752477729,-2.246669636
13,-1.804005395,0.470905698,-2.564160268
14,0.723064856,0.812542084,-1.816686744
15,-0.426951878,1.151484932,2.386174445
16,-1.946257872,0.346092453,0.992416792
17,1.660015023,0.019245631,-0.771215358
18,1.663268059,0.977339214,-0.077971066
19,2.453640261,-0.559993731,-1.831792653
