Name,XPos,YPos,ZPos
1,66,1,478
2,1,67,480
3,480,478,1
4,465,3,2
5,2,65,465
6,459,4,3
7,3,135,459
8,465,135,3
9,459,34,4
10,462,65,5
11,5,66,460
12,5,460,462
13,6,7,450
14,450,68,6
15,7,9,442
16,442,130,7
17,7,130,450
18,449,67,8
19,8,68,448
20,8,448,449
21,9,11,442
22,10,72,423
23,425,73,10
24,10,423,425
25,11,64,155
26,155,154,11
27,11,154,442
28,12,13,410
29,410,71,12
30,13,15,404
31,404,120,13
32,13,120,410
33,14,53,213
34,172,59,14
35,173,172,14
36,213,173,14
37,15,34,404
38,16,71,407
39,406,72,16
40,407,406,16
41,394,18,17
42,17,76,394
43,386,21,18
44,18,115,386
45,394,115,18
46,19,42,270
47,232,46,19
48,233,232,19
49,270,233,19
50,20,73,3.93E+02
51,391,76,20
52,393,391,20
53,386,29,21
54,22,78,365
55,367,79,22
56,22,365,367
57,23,25,352
58,352,77,23
59,24,32,327
60,287,37,24
61,288,287,24
62,327,288,24
63,25,26,345
64,345,105,25
65,25,105,352
66,26,29,345
67,27,77,349
68,347,78,27
69,349,347,27
70,335,30,28
71,28,80,335
72,346,345,29
73,386,346,29
74,327,32,30
75,30,102,327
76,335,102,30
77,31,79,3.34E+02
78,333,80,31
79,334,333,31
80,33,82,306
81,308,83,33
82,33,306,308
83,405,404,34
84,459,405,34
85,35,36,293
86,293,81,35
87,36,37,287
88,287,91,36
89,36,91,293
90,38,81,290
91,289,82,38
92,290,289,38
93,279,40,39
94,39,84,279
95,270,42,40
96,40,86,270
97,279,86,40
98,41,83,278
99,276,84,41
100,278,276,41
101,252,70,43
102,43,74,250
103,43,250,252
104,44,45,238
105,238,75,44
106,45,46,232
107,232,122,45
108,45,122,238
109,234,74,47
110,47,75,236
111,236,234,47
112,222,49,48
113,48,69,222
114,213,53,49
115,49,133,213
116,222,133,49
117,163,61,50
118,50,63,161
119,50,161,163
120,51,54,193
121,162,63,51
122,193,162,51
123,219,69,52
124,52,70,221
125,221,219,52
126,54,55,191
127,54,191,193
128,55,60,174
129,55,174,191
130,56,57,178
131,175,60,56
132,178,175,56
133,57,58,178
134,58,59,172
135,58,172,218
136,218,178,58
137,175,174,60
138,163,62,61
139,155,64,62
140,224,155,62
141,62,163,224
142,162,161,63
143,65,462,465
144,478,460,66
145,67,449,480
146,450,448,68
147,69,219,222
148,252,221,70
149,410,407,71
150,72,406,423
151,425,393,73
152,74,234,250
153,238,236,75
154,76,391,394
155,352,349,77
156,78,347,365
157,367,334,79
158,80,333,335
159,293,290,81
160,82,289,306
161,308,278,83
162,84,276,279
163,269,268,87
164,87,268,272
165,302,269,87
166,297,295,88
167,285,281,90
168,90,283,285
169,285,284,91
170,91,284,293
171,286,285,91
172,287,286,91
173,282,281,92
174,92,281,286
175,325,282,92
176,92,286,288
177,92,288,328
178,328,325,92
179,260,259,94
180,297,296,95
181,95,296,311
182,298,297,95
183,299,298,95
184,310,299,95
185,311,310,95
186,96,304,312
187,312,311,96
188,306,305,97
189,97,305,310
190,308,306,97
191,97,307,308
192,312,307,97
193,97,310,312
194,359,317,99
195,361,359,99
196,354,323,100
197,356,354,100
198,328,327,102
199,329,328,102
200,330,329,102
201,335,330,102
202,326,325,103
203,103,325,329
204,361,326,103
205,103,329,331
206,103,331,362
207,362,361,103
208,339,338,104
209,104,338,354
210,343,339,104
211,104,341,343
212,357,341,104
213,104,354,357
214,343,342,105
215,105,342,352
216,344,343,105
217,345,344,105
218,340,339,106
219,106,339,344
220,384,340,106
221,106,344,346
222,106,346,387
223,387,384,106
224,250,249,107
225,107,249,253
226,252,250,107
227,107,251,252
228,255,251,107
229,107,253,255
230,245,244,108
231,108,244,247
232,254,245,108
233,108,247,248
234,108,248,255
235,255,254,108
236,356,355,109
237,109,355,370
