Name,XPos,YPos,ZPos
1,1.6262,2.8428,1.0386
2,-0.6695,3.3172,0.67104
3,2.8275,2.4049,-0.99331
4,1.8021,0.91548,2.4751
5,3.9401,0.31383,-0.7304
6,-1.95,1.8328,2.0886
7,3.2394,-0.67445,1.3442
8,3.438,-1.2129,-2.5233
9,2.4115,-2.8623,0.87306
10,-0.43471,0.28058,3.1586
11,-1.1936,-1.9172,2.6318
12,0.22968,-3.449,1.4725
13,2.5682,-3.2017,-1.5029
14,-3.232,-1.7448,1.348
15,-3.597,0.54657,0.88257
16,-3.4947,0.8742,-1.5024
17,-2.9458,-2.9271,-0.69173
18,-0.85139,-4.0328,-0.60922
19,-3.0763,-1.3011,-2.5078
